T,P1,P2,P3,P4,P5
0, 1, 1, 1, 1, 0
1, 1, 0, 1, 1, 0
2, 0, 1, 1, 0, 0
3, 0, 1, 1, 1, 0
4, 1, 0, 1, 1, 0
5, 0, 0, 1, 1, 0
6, 0, 0, 1, 1, 1
7, 0, 1, 1, 0, 1
8, 0, 1, 1, 1, 0
9, 1, 0, 1, 1, 1
10, 1, 1, 1, 0, 0
11, 0, 1, 0, 1, 1
12, 0, 1, 0, 0, 1
13, 0, 1, 0, 1, 1
14, 0, 1, 0, 0, 1
15, 0, 0, 0, 1, 1
16, 0, 0, 1, 0, 1
17, 0, 0, 1, 1, 1
18, 1, 0, 1, 0, 1
19, 0, 0, 1, 1, 1
20, 1, 1, 0, 0, 1
21, 0, 1, 1, 1, 0
22, 0, 1, 1, 1, 0
23, 1, 1, 1, 0, 0
24, 0, 1, 1, 0, 0
25, 0, 1, 1, 1, 0
26, 0, 0, 1, 1, 0
27, 1, 1, 1, 0, 0
28, 1, 1, 0, 0, 1
29, 0, 0, 1, 1, 0
30, 1, 1, 1, 0, 0
31, 0, 1, 1, 0, 0
32, 1, 1, 1, 1, 1
33, 0, 1, 1, 0, 1
34, 1, 1, 1, 1, 0
35, 1, 1, 1, 0, 1
36, 1, 1, 1, 0, 0
37, 0, 1, 1, 1, 1
38, 1, 1, 1, 1, 0
39, 0, 1, 1, 0, 1
40, 1, 1, 1, 0, 1
41, 0, 1, 1, 1, 0
42, 0, 1, 1, 0, 1
43, 1, 1, 1, 1, 1
44, 0, 1, 1, 0, 0
45, 1, 1, 1, 1, 1
46, 0, 1, 1, 0, 1
47, 1, 1, 1, 1, 0
48, 1, 1, 1, 0, 1
49, 1, 1, 1, 0, 0
50, 0, 1, 1, 1, 1
51, 1, 1, 1, 1, 0
52, 0, 1, 1, 0, 1
53, 1, 1, 1, 0, 1
54, 0, 1, 1, 1, 0
55, 0, 1, 1, 0, 1
56, 1, 1, 1, 1, 1
57, 1, 1, 1, 1, 1
58, 1, 1, 1, 1, 1
59, 1, 1, 1, 1, 1
60, 1, 1, 1, 1, 1
61, 1, 1, 1, 1, 1
62, 1, 1, 1, 1, 1
63, 1, 1, 1, 1, 1
64, 1, 1, 1, 1, 1
65, 1, 1, 1, 1, 1
66, 1, 1, 1, 1, 1
67, 1, 1, 1, 1, 1
68, 1, 1, 1, 1, 1
69, 1, 1, 1, 1, 1
70, 1, 1, 1, 1, 1
71, 1, 0, 1, 1, 1
72, 1, 1, 1, 1, 1
73, 1, 1, 1, 1, 1
74, 1, 1, 1, 1, 1
75, 1, 1, 1, 1, 1
76, 1, 1, 1, 1, 1
77, 1, 1, 1, 1, 1
78, 1, 1, 1, 1, 1
79, 1, 0, 1, 1, 1
80, 1, 0, 1, 1, 1
81, 1, 0, 1, 1, 1
82, 1, 1, 1, 1, 1
83, 1, 1, 1, 1, 1
84, 1, 1, 1, 1, 1
85, 1, 1, 1, 1, 1
86, 1, 1, 1, 1, 1
87, 1, 1, 1, 1, 1
88, 1, 1, 1, 1, 1
89, 1, 1, 1, 1, 1
90, 1, 1, 1, 1, 1
91, 1, 0, 1, 1, 1
92, 1, 0, 1, 1, 1
93, 1, 0, 1, 1, 1
